KNU_ID,KNOT_ID,KNU_Type,Artifact_Class,Expected_Location,Title,Acceptance_Criteria,Verification_Method,Owner_AoR,Due_Date,Status,Effort_Predicted,Priority
KNU-08-30-001-REQ-001,KNOT-08-30-001,REQ,SSOT,../LC02_SYSTEM_REQUIREMENTS/,Jack Point Location Requirements,"Requirements traced to ATA 53/57 structural provisions; reviewed by STK_SE and STK_SAF",Review,STK_GSE,2026-03-15,PLANNED,8,HIGH
KNU-08-30-001-ICD-001,KNOT-08-30-001,ICD,SSOT,../LC04_DESIGN_DEFINITION/,Jack-to-Airframe Interface Control Document,"ICD approved by STK_SE; geometry frozen; load cases defined",Review,STK_GSE,2026-04-30,PLANNED,13,HIGH
KNU-08-30-001-ANA-001,KNOT-08-30-001,ANA,SSOT,../LC05_ANALYSIS_MODELS/,Jack Load Distribution Analysis,"FEA results show margin >1.5 on all load cases; peer reviewed",Inspection,STK_SE,2026-05-15,PLANNED,21,HIGH
KNU-08-30-001-SAF-001,KNOT-08-30-001,SAF,SSOT,../LC03_SAFETY_RELIABILITY/,Jacking Operations Hazard Analysis,"FMEA complete; all CAT I/II hazards mitigated; STK_SAF approved",Review,STK_SAF,2026-05-31,PLANNED,13,HIGH
KNU-08-30-001-PUB-001,KNOT-08-30-001,PUB,CSDB,../../PUB/AMM/CSDB/DM/,DM Jack Point Identification (Descriptive),"DM passes BREX; ICN referenced; effectivity applied",BREX+CI,STK_CM,2026-06-15,PLANNED,5,MEDIUM
KNU-08-30-002-REQ-001,KNOT-08-30-002,REQ,SSOT,../LC02_SYSTEM_REQUIREMENTS/,Weighing System Performance Requirements,"Accuracy class defined; environmental range specified; traced to certification basis",Review,STK_GSE,2026-03-01,PLANNED,8,HIGH
KNU-08-30-002-ANA-001,KNOT-08-30-002,ANA,SSOT,../LC05_ANALYSIS_MODELS/,Mass Properties Uncertainty Analysis,"Monte Carlo analysis complete; uncertainty budget allocated; CG tolerance verified",Inspection,STK_SE,2026-04-15,PLANNED,13,HIGH
KNU-08-30-002-TEST-001,KNOT-08-30-002,TEST,SSOT,../LC06_VERIFICATION/,Load Cell Acceptance Test Procedure,"ATP approved; calibration chain traceable; pass/fail criteria defined",Review,STK_TEST,2026-05-01,PLANNED,8,MEDIUM
KNU-08-30-002-PUB-001,KNOT-08-30-002,PUB,CSDB,../../PUB/AMM/CSDB/DM/,DM Weighing Equipment Specifications (Descriptive),"DM passes BREX; specifications complete; STK_CM approved",BREX+CI,STK_CM,2026-05-15,PLANNED,5,MEDIUM
KNU-08-30-003-REQ-001,KNOT-08-30-003,REQ,SSOT,../LC02_SYSTEM_REQUIREMENTS/,LH₂ Compensation Algorithm Requirements,"Functional requirements defined; accuracy targets specified; interface to tank sensors defined",Review,STK_SE,2026-04-01,PLANNED,8,HIGH
KNU-08-30-003-ANA-001,KNOT-08-30-003,ANA,SSOT,../LC05_ANALYSIS_MODELS/,LH₂ Density-Temperature Correlation Model,"Thermodynamic model validated against literature; ortho-para effects quantified",Inspection,STK_SE,2026-05-15,PLANNED,21,HIGH
KNU-08-30-003-ANA-002,KNOT-08-30-003,ANA,SSOT,../LC05_ANALYSIS_MODELS/,CG Uncertainty Propagation Analysis,"Sensitivity analysis complete; dominant contributors identified; total uncertainty within tolerance",Inspection,STK_SE,2026-06-15,PLANNED,13,HIGH
KNU-08-30-003-TEST-001,KNOT-08-30-003,TEST,SSOT,../LC06_VERIFICATION/,Algorithm Validation Test Plan,"Test matrix defined; ground truth methodology established; acceptance criteria specified",Review,STK_TEST,2026-07-01,PLANNED,8,MEDIUM
KNU-08-30-003-PUB-001,KNOT-08-30-003,PUB,CSDB,../../PUB/AMM/CSDB/DM/,DM LH₂ Compensation Procedure (Procedural),"DM passes BREX; procedure validated; warnings/cautions included",BREX+CI,STK_CM,2026-07-15,PLANNED,5,MEDIUM
KNU-08-30-004-REQ-001,KNOT-08-30-004,REQ,SSOT,../LC02_SYSTEM_REQUIREMENTS/,Adapter Material Requirements,"Material properties specified; compatibility with composite verified; lifecycle requirements defined",Review,STK_GSE,2026-03-01,PLANNED,5,MEDIUM
KNU-08-30-004-ANA-001,KNOT-08-30-004,ANA,SSOT,../LC05_ANALYSIS_MODELS/,Adapter Contact Stress Analysis,"FEA complete; no airframe damage predicted; safety factor >2.0",Inspection,STK_SE,2026-04-01,PLANNED,13,HIGH
KNU-08-30-004-TEST-001,KNOT-08-30-004,TEST,SSOT,../LC06_VERIFICATION/,Adapter Qualification Test Plan,"Test specimens defined; load cycles specified; inspection intervals established",Review,STK_TEST,2026-04-15,PLANNED,8,MEDIUM
KNU-08-30-004-CM-001,KNOT-08-30-004,CM,SSOT,../LC08_CONFIGURATION/,Adapter Inspection and Replacement Criteria,"Wear limits defined; replacement intervals established; traceability requirements specified",Review,STK_MRO,2026-05-01,PLANNED,5,MEDIUM
KNU-08-30-004-PUB-001,KNOT-08-30-004,PUB,CSDB,../../PUB/AMM/CSDB/DM/,DM Adapter Installation and Inspection (Procedural),"DM passes BREX; step-by-step procedure complete; ICN for wear indicators",BREX+CI,STK_CM,2026-05-15,PLANNED,5,LOW
KNU-08-30-005-REQ-001,KNOT-08-30-005,REQ,SSOT,../LC02_SYSTEM_REQUIREMENTS/,Data Interface Requirements,"Protocol specified; schema defined; security requirements per STK_CY",Review,STK_DATA,2026-03-15,PLANNED,8,HIGH
KNU-08-30-005-ICD-001,KNOT-08-30-005,ICD,SSOT,../LC04_DESIGN_DEFINITION/,GSE-to-DPP Interface Control Document,"Message formats defined; handshake protocols specified; error handling documented",Review,STK_DATA,2026-05-01,PLANNED,13,HIGH
KNU-08-30-005-ANA-001,KNOT-08-30-005,ANA,SSOT,../LC05_ANALYSIS_MODELS/,Data Integrity Verification Analysis,"Hash chain integrity verified; tamper detection validated; audit trail complete",Inspection,STK_CY,2026-05-15,PLANNED,8,MEDIUM
KNU-08-30-005-TEST-001,KNOT-08-30-005,TEST,SSOT,../LC06_VERIFICATION/,Interface Integration Test Procedure,"End-to-end data flow verified; edge cases tested; certification evidence exportable",Test,STK_TEST,2026-06-01,PLANNED,8,MEDIUM
KNU-08-30-005-PUB-001,KNOT-08-30-005,PUB,CSDB,../../PUB/AMM/CSDB/DM/,DM Digital Data Export Procedure (Procedural),"DM passes BREX; export formats documented; troubleshooting included",BREX+CI,STK_CM,2026-06-15,PLANNED,5,LOW
KNU-08-30-006-REQ-001,KNOT-08-30-006,REQ,SSOT,../LC02_SYSTEM_REQUIREMENTS/,Safety Interlock System Requirements,"Functional requirements complete; failure modes addressed; independence requirements specified",Review,STK_SAF,2026-04-01,PLANNED,8,HIGH
KNU-08-30-006-SAF-001,KNOT-08-30-006,SAF,SSOT,../LC03_SAFETY_RELIABILITY/,Interlock System FMEA,"All failure modes analyzed; detection methods specified; severity classifications assigned",Review,STK_SAF,2026-05-01,PLANNED,13,HIGH
KNU-08-30-006-ICD-001,KNOT-08-30-006,ICD,SSOT,../LC04_DESIGN_DEFINITION/,Interlock Sensor Interface Document,"Sensor locations defined; signal conditioning specified; redundancy architecture documented",Review,STK_GSE,2026-05-15,PLANNED,8,MEDIUM
KNU-08-30-006-TEST-001,KNOT-08-30-006,TEST,SSOT,../LC06_VERIFICATION/,Interlock Functional Test Procedure,"All trip conditions tested; response times verified; manual override validated",Test,STK_TEST,2026-06-15,PLANNED,8,MEDIUM
KNU-08-30-006-PUB-001,KNOT-08-30-006,PUB,CSDB,../../PUB/AMM/CSDB/DM/,DM Safety Interlock Operation (Procedural),"DM passes BREX; emergency procedures included; warnings prominent",BREX+CI,STK_CM,2026-06-30,PLANNED,5,MEDIUM
