Milestone_ID,KNOT_ID,Name,Date,Entry_Criteria,Exit_Criteria,Status,Notes
MS-08-30-001,KNOT-08-30-001,Jack Point PDR (Preliminary Design Review),2026-04-15,"REQ-001 approved; ICD-001 draft complete; hazard analysis initiated","Jack point locations baselined; adapter concepts selected; load cases agreed",PLANNED,Gate for structural interface freeze
MS-08-30-002,KNOT-08-30-001,Jack Point CDR (Critical Design Review),2026-06-01,"PDR actions closed; FEA complete; FMEA approved","Jack design frozen; procurement spec released; test plan approved",PLANNED,Enables long-lead procurement
MS-08-30-003,KNOT-08-30-002,Weighing System SRR (System Requirements Review),2026-03-15,"REQ-001 draft complete; certification basis identified","Requirements baselined; accuracy class confirmed; environmental range agreed",PLANNED,Aligns with aircraft mass properties freeze
MS-08-30-004,KNOT-08-30-002,Weighing System PDR,2026-05-01,"SRR actions closed; uncertainty analysis complete; ATP draft ready","Equipment selection justified; calibration chain defined; test approach approved",PLANNED,Gate for equipment procurement
MS-08-30-005,KNOT-08-30-003,LH₂ Algorithm Concept Review,2026-05-01,"REQ-001 approved; thermodynamic model draft complete","Algorithm concept selected; validation approach agreed; interface to tank sensors defined",PLANNED,Coordination with ATA 28 team
MS-08-30-006,KNOT-08-30-003,LH₂ Algorithm Validation Readiness Review,2026-07-15,"CG uncertainty analysis complete; test plan approved","Algorithm validated against synthetic data; ground test plan ready",PLANNED,Prerequisite for aircraft-level testing
MS-08-30-007,KNOT-08-30-004,Adapter Material Selection Review,2026-03-15,"REQ-001 complete; material candidates identified","Material selected; supplier qualified; contact stress analysis initiated",PLANNED,Early decision for prototype fabrication
MS-08-30-008,KNOT-08-30-004,Adapter Qualification Complete,2026-05-15,"Qualification tests executed; results analyzed","All test criteria met; inspection intervals validated; production spec released",PLANNED,Enables production adapter procurement
MS-08-30-009,KNOT-08-30-005,Data Interface Specification Review,2026-04-01,"REQ-001 approved; schema draft complete","Interface specification baselined; security review passed; DPP team concurrence",PLANNED,Coordination with ATA 96 team
MS-08-30-010,KNOT-08-30-005,Integration Test Readiness Review,2026-06-01,"ICD frozen; test environment ready; test procedures approved","Test configuration verified; all interfaces connected; evidence export validated",PLANNED,Gate for certification evidence generation
MS-08-30-011,KNOT-08-30-006,Interlock Architecture Review,2026-04-15,"REQ-001 approved; FMEA initiated; sensor concepts defined","Architecture selected; redundancy approach agreed; manual override concept approved",PLANNED,Safety-critical design gate
MS-08-30-012,KNOT-08-30-006,Interlock System Qualification,2026-06-30,"All tests executed; results documented; deviations dispositioned","System qualified; operational procedures validated; training material approved",PLANNED,Final gate before operational use
MS-08-30-100,ALL,LC01 Node Closure Review,2026-07-31,"All KNOTs at CLOSED status; evidence packs complete; TT distributions calculated","Node closed; residuals at target; lessons learned captured; TT awarded",PLANNED,Program-level milestone
