REQ_ID,Old_ID,Title,Category,Priority,Rationale,Verification,Parent_KNOT,Downstream_KNU,Status
REQ-AMPEL-00-00-02-SAF-001,REQ-SAF-001,Safety Message Hierarchy,General,MUST,Aligns with ANSI Z535.4 and S1000D conventions,Review,KNOT-00-00-003,KNU-00-00-003-ICD-001;KNU-00-00-003-PUB-001,OPEN
REQ-AMPEL-00-00-02-SAF-002,REQ-SAF-002,Severity Mapping,General,MUST,Consistent severity interpretation across safety and documentation,Review,KNOT-00-00-003,KNU-00-00-003-ICD-001;KNU-00-00-003-ANA-001,OPEN
REQ-AMPEL-00-00-02-SAF-003,REQ-SAF-003,Consistent Formatting,General,MUST,Prevents confusion from inconsistent appearance,Inspection,KNOT-00-00-003,KNU-00-00-003-PUB-001;KNU-00-00-003-CM-001,OPEN
REQ-AMPEL-00-00-02-SAF-004,REQ-SAF-004,Proximity Placement,General,MUST,Ensures visibility at point of hazard exposure,Review,KNOT-00-00-003,KNU-00-00-003-PUB-001,OPEN
REQ-AMPEL-00-00-02-SAF-005,REQ-SAF-005,Language Clarity,General,MUST,Maximizes comprehension under stress,Review,KNOT-00-00-003,KNU-00-00-003-PUB-001;KNU-00-00-001-REQ-001,OPEN
REQ-AMPEL-00-00-02-SAF-010,REQ-SAF-010,WARNING Format,WARNING,MUST,Maximum visibility for highest-severity hazards,Inspection,KNOT-00-00-003,KNU-00-00-003-ICD-001;KNU-00-00-003-PUB-001,OPEN
REQ-AMPEL-00-00-02-SAF-011,REQ-SAF-011,WARNING Color Specification,WARNING,MUST,ISO 3864-1 and ANSI Z535 color standards,Inspection,KNOT-00-00-003,KNU-00-00-003-ICD-001,OPEN
REQ-AMPEL-00-00-02-SAF-012,REQ-SAF-012,WARNING Minimum Size,WARNING,MUST,Legibility at normal reading distance,Inspection,KNOT-00-00-003,KNU-00-00-003-ICD-001;KNU-00-00-003-PUB-001,OPEN
REQ-AMPEL-00-00-02-SAF-020,REQ-SAF-020,CAUTION Format,CAUTION,MUST,Distinguishes from WARNING while maintaining visibility,Inspection,KNOT-00-00-003,KNU-00-00-003-ICD-001;KNU-00-00-003-PUB-001,OPEN
REQ-AMPEL-00-00-02-SAF-021,REQ-SAF-021,CAUTION Color Specification,CAUTION,MUST,ISO 3864-1 and ANSI Z535 color standards,Inspection,KNOT-00-00-003,KNU-00-00-003-ICD-001,OPEN
REQ-AMPEL-00-00-02-SAF-030,REQ-SAF-030,NOTE Format,NOTE,MUST,Distinguishes informational content from hazard warnings,Inspection,KNOT-00-00-003,KNU-00-00-003-ICD-001;KNU-00-00-003-PUB-001,OPEN
REQ-AMPEL-00-00-02-SAF-031,REQ-SAF-031,NOTE Color Specification,NOTE,SHOULD,Common convention; may vary by publication type,Inspection,KNOT-00-00-003,KNU-00-00-003-ICD-001,OPEN
REQ-AMPEL-00-00-02-SAF-040,REQ-SAF-040,Cryogenic Hazard Symbol,H₂ Symbols,MUST,Distinguishes from generic cold hazards,Review,KNOT-00-00-003,KNU-00-00-003-ICD-001,OPEN
REQ-AMPEL-00-00-02-SAF-041,REQ-SAF-041,Flammable Gas Hazard Symbol,H₂ Symbols,MUST,Hydrogen has unique flammability characteristics (4–75% LEL-UEL),Review,KNOT-00-00-003,KNU-00-00-003-ICD-001,OPEN
REQ-AMPEL-00-00-02-SAF-042,REQ-SAF-042,Asphyxiation Hazard Symbol,H₂ Symbols,MUST,H₂ displaces oxygen without visible or olfactory indication,Review,KNOT-00-00-003,KNU-00-00-003-ICD-001,OPEN
REQ-AMPEL-00-00-02-SAF-043,REQ-SAF-043,High Voltage Hazard Symbol,H₂ Symbols,MUST,Electric propulsion voltages exceed conventional aircraft levels,Review,KNOT-00-00-003,KNU-00-00-003-ICD-001,OPEN
REQ-AMPEL-00-00-02-SAF-044,REQ-SAF-044,Pressure Hazard Symbol,H₂ Symbols,MUST,H₂ storage pressures far exceed conventional aircraft systems,Review,KNOT-00-00-003,KNU-00-00-003-ICD-001,OPEN
REQ-AMPEL-00-00-02-SAF-045,REQ-SAF-045,Composite Hazard Symbols,H₂ Symbols,SHOULD,H₂ systems often present multiple simultaneous hazards,Review,KNOT-00-00-003,KNU-00-00-003-ICD-001,OPEN
REQ-AMPEL-00-00-02-SAF-050,REQ-SAF-050,AI/ML Output Indication,AI/ML,MUST,Operators must distinguish AI recommendations from deterministic outputs,Review,KNOT-00-00-003,KNU-00-00-003-ICD-001;ATA95-LC03,OPEN
REQ-AMPEL-00-00-02-SAF-051,REQ-SAF-051,AI Confidence Indication,AI/ML,SHOULD,Enables operator calibration of trust in AI outputs,Review,KNOT-00-00-003,KNU-00-00-003-ICD-001;ATA95-LC03,OPEN
REQ-AMPEL-00-00-02-SAF-052,REQ-SAF-052,AI Override Indication,AI/ML,MUST,Traceability for safety investigation and learning assurance,Review,KNOT-00-00-003,KNU-00-00-003-ICD-001;ATA95-LC03,OPEN
REQ-AMPEL-00-00-02-SAF-053,REQ-SAF-053,AI Limitation Warnings,AI/ML,MUST,EASA AI Roadmap requirement for runtime monitoring,Review,KNOT-00-00-003,KNU-00-00-003-ICD-001;KNU-00-00-003-PUB-001,OPEN
REQ-AMPEL-00-00-02-SAF-060,REQ-SAF-060,S1000D Warning Markup,S1000D,MUST,S1000D schema compliance,BREX+CI,KNOT-00-00-003,KNU-00-00-003-PUB-001,OPEN
REQ-AMPEL-00-00-02-SAF-061,REQ-SAF-061,S1000D Caution Markup,S1000D,MUST,S1000D schema compliance,BREX+CI,KNOT-00-00-003,KNU-00-00-003-PUB-001,OPEN
REQ-AMPEL-00-00-02-SAF-062,REQ-SAF-062,S1000D Note Markup,S1000D,MUST,S1000D schema compliance,BREX+CI,KNOT-00-00-003,KNU-00-00-003-PUB-001,OPEN
REQ-AMPEL-00-00-02-SAF-063,REQ-SAF-063,BREX Rules for Safety Messages,S1000D,MUST,Automated quality control,Review,KNOT-00-00-003,KNU-00-00-003-PUB-001,OPEN
REQ-AMPEL-00-00-02-SAF-070,REQ-SAF-070,Hazard Category Registry,Classification,MUST,Ensures consistency across all publications,Review,KNOT-00-00-003,KNU-00-00-003-ICD-001;KNU-00-00-003-CM-001,OPEN
REQ-AMPEL-00-00-02-SAF-071,REQ-SAF-071,Hazard-to-Symbol Mapping,Classification,MUST,Prevents symbol proliferation and confusion,Review,KNOT-00-00-003,KNU-00-00-003-ICD-001,OPEN
REQ-AMPEL-00-00-02-SAF-072,REQ-SAF-072,New Hazard Approval Process,Classification,MUST,Prevents uncontrolled symbol creation,Review,KNOT-00-00-003,KNU-00-00-003-CM-001,OPEN
REQ-AMPEL-00-00-02-SAF-080,REQ-SAF-080,Placard-to-Documentation Alignment,Physical Placards,MUST,Prevents confusion between aircraft and manual,Inspection,KNOT-00-00-003,KNU-00-00-003-CM-001,OPEN
REQ-AMPEL-00-00-02-SAF-081,REQ-SAF-081,Placard Durability Requirements,Physical Placards,SHOULD,Placards must remain legible throughout service life,Test,KNOT-00-00-003,ATA11-LC04,OPEN
REQ-AMPEL-00-00-02-SAF-082,REQ-SAF-082,Multi-Language Placards,Physical Placards,SHOULD,International operations,Review,KNOT-00-00-003,ATA11-LC04,OPEN
